name,stratum,bioactivity_vocab,food_source,bioavailability,canonical_smiles,formula,mw,logp,hbd,hba,tpsa,rings,murcko_scaffold
lupeol,South Asian,anti-inflammatory,"mango, many fruits",low,C=C(C)[C@@H]1CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,C30H50O,426.73,8.02,1,1,20.23,5,C1CCC2C(C1)CCC1C2CCC2C3CCCC3CCC21
theobromine,African,stimulant,cocoa (West Africa),high,Cn1cnc2c1c(=O)[nH]c(=O)n2C,C7H8N4O2,180.17,-1.04,1,3,72.68,2,O=c1[nH]c(=O)c2[nH]cnc2[nH]1
vitexin,African,antioxidant,"rooibos, many",low,O=c1cc(-c2ccc(O)cc2)oc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc(O)c12,C21H20O10,432.38,0.09,7,10,181.05,4,O=c1cc(-c2ccccc2)oc2c(C3CCCCO3)cccc12
orientin,African,antioxidant,rooibos,low,O=c1cc(-c2ccc(O)c(O)c2)oc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc(O)c12,C21H20O11,448.38,-0.2,8,11,201.28,4,O=c1cc(-c2ccccc2)oc2c(C3CCCCO3)cccc12
harpagoside,African,anti-inflammatory,devil's claw (Southern Africa),moderate,C[C@]1(OC(=O)/C=C/c2ccccc2)C[C@@H](O)[C@]2(O)C=CO[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H]21,C24H30O11,494.49,-1.2,6,11,175.37,4,O=C(C=Cc1ccccc1)OC1CCC2C=COC(OC3CCCCO3)C21
hypoxoside,African,immunomodulatory,African potato (Hypoxis),low,OC[C@@H]1O[C@H](Oc2ccc(C#CC/C=C/c3ccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c(O)c3)cc2O)[C@@H](O)[C@H](O)[C@H]1O,C29H34O14,606.58,-2.09,10,14,239.22,4,C(#Cc1ccc(OC2CCCCO2)cc1)CC=Cc1ccc(OC2CCCCO2)cc1
mesembrenone,African,neuroprotective,Sceletium tortuosum (kanna),moderate,COc1ccc([C@@]23C=CC(=O)C[C@@H]2N(C)CC3)cc1OC,C17H21NO3,287.36,2.17,0,4,38.77,3,O=C1C=CC2(c3ccccc3)CCNC2C1
isomangiferin,African,antioxidant,honeybush,low,O=c1c2cc(O)c(O)cc2oc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc(O)c12,C19H18O11,422.34,-0.72,8,11,201.28,4,O=c1c2ccccc2oc2c(C3CCCCO3)cccc12
punicalagin,African,antioxidant,pomegranate (North Africa),low,O=CC1OC(=O)c2cc(O)c(O)c(O)c2-c2c(cc(O)c(O)c2O)C(=O)OC1C1OC(=O)c2cc(O)c(O)c(O)c2-c2c(O)c(O)c3oc(=O)c4c(c(O)c(O)c5oc(=O)c2c3c54)-c2c(cc(O)c(O)c2O)C(=O)OCC1O,C48H28O30,1084.72,1.8,17,30,526.6,10,O=C1OCC(C2CCOC(=O)c3ccccc3-c3ccc4oc(=O)c5c(ccc6oc(=O)c3c4c65)-c3ccccc3C(=O)O2)OC(=O)c2ccccc2-c2ccccc21
taxifolin,Western,antioxidant,"milk thistle, onion, citrus",low,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)c(O)c2)[C@H]1O,C15H12O7,304.3,1.19,5,7,127.5,3,O=C1CC(c2ccccc2)Oc2ccccc21
phloretin,Western,antioxidant,apple,moderate,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,C15H14O5,274.3,2.32,4,5,98.0,2,O=C(CCc1ccccc1)c1ccccc1
phloridzin,Western,antidiabetic,apple,low,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O[C@@H]1OC(CO)[C@@H](O)[C@@H](O)C1O,C21H24O10,436.4,-0.2,7,10,177.1,3,O=C(CCc1ccccc1)c1ccccc1OC1CCCCO1
sinapic acid,Western,antioxidant,"mustard, berries",moderate,COc1cc(C=CC(=O)O)cc(OC)c1O,C11H12O5,224.2,1.51,2,4,76.0,1,c1ccccc1
p-coumaric acid,Western,antioxidant,"peanut, tomato",moderate,O=C(O)/C=C/c1ccc(O)cc1,C9H8O3,164.2,1.49,2,2,57.5,1,c1ccccc1
protocatechuic acid,Western,antioxidant,"olive, berries",moderate,O=C(O)c1ccc(O)c(O)c1,C7H6O4,154.1,0.8,3,3,77.8,1,c1ccccc1
syringic acid,Western,antioxidant,"grape, olive",moderate,COc1cc(C(=O)O)cc(OC)c1O,C9H10O5,198.2,1.11,2,4,76.0,1,c1ccccc1
vanillic acid,Western,antioxidant,whole grains,moderate,COc1cc(C(=O)O)ccc1O,C8H8O4,168.1,1.1,2,3,66.8,1,c1ccccc1
secoisolariciresinol,Western,phytoestrogen,flaxseed,low,COc1cc(C[C@@H](CO)[C@H](CO)Cc2ccc(O)c(OC)c2)ccc1O,C20H26O6,362.4,2.12,4,6,99.4,2,c1ccc(CCCCc2ccccc2)cc1
matairesinol,Western,phytoestrogen,"flaxseed, sesame",low,COc1cc(C[C@H]2COC(=O)[C@@H]2Cc2ccc(O)c(OC)c2)ccc1O,C20H22O6,358.4,2.69,2,6,85.2,3,O=C1OCC(Cc2ccccc2)C1Cc1ccccc1
malvidin,Western,antioxidant,"grape, red wine",low,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O)cc(OC)c1O,C17H15O7+,331.3,3.22,4,6,110.7,3,c1ccc(-c2ccc3ccccc3[o+]2)cc1
peonidin,Western,antioxidant,"berries, grape",low,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O)ccc1O.[Cl-],C16H13ClO6,336.7,0.22,4,5,101.5,3,c1ccc(-c2ccc3ccccc3[o+]2)cc1
petunidin,Western,antioxidant,berries,low,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O)cc(O)c1O.[Cl-],C16H13ClO7,352.7,-0.08,5,6,121.7,3,c1ccc(-c2ccc3ccccc3[o+]2)cc1
pelargonidin,Western,antioxidant,strawberry,low,Oc1ccc(-c2[o+]c3cc(O)cc(O)c3cc2O)cc1,C15H11O5+,271.2,3.2,4,4,92.2,3,c1ccc(-c2ccc3ccccc3[o+]2)cc1
procyanidin B2,Western,cardiovascular,"apple, cocoa",low,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)[C@H]2c1c(O)cc(O)c2c1O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,C30H26O12,578.5,3.0,10,12,220.8,6,c1ccc(C2CC(c3cccc4c3OC(c3ccccc3)CC4)c3ccccc3O2)cc1
tyrosol,Western,antioxidant,"olive oil, wine",moderate,OCCc1ccc(O)cc1,C8H10O2,138.2,0.93,2,2,40.5,1,c1ccccc1
maslinic acid,Western,anti-inflammatory,olive skin,low,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,C30H48O4,472.7,6.2,3,3,77.8,5,C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1
oleanolic acid,Western,hepatoprotective,"olive, grape",low,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,C30H48O3,456.7,7.23,2,2,57.5,5,C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1
betulinic acid,Western,anticancer,"fruits, birch",low,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,C30H48O3,456.7,7.09,2,2,57.5,5,C1CCC2C(C1)CCC1C2CCC2C3CCCC3CCC21
scopoletin,Western,anti-inflammatory,"fruits, herbs",moderate,COc1cc2ccc(=O)oc2cc1O,C10H8O4,192.2,1.51,1,4,59.7,2,O=c1ccc2ccccc2o1
esculetin,Western,antioxidant,chicory,moderate,O=c1ccc2cc(O)c(O)cc2o1,C9H6O4,178.1,1.2,2,4,70.7,2,O=c1ccc2ccccc2o1
umbelliferone,Western,antioxidant,"carrot, coriander",moderate,O=c1ccc2ccc(O)cc2o1,C9H6O3,162.1,1.5,1,3,50.4,2,O=c1ccc2ccccc2o1
isoquercitrin,Western,antioxidant,"onion, apple",low,O=c1c(O[C@@H]2O[C@H]([C@H](O)CO)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,C21H20O12,464.4,-0.54,8,12,210.5,4,O=c1c(OC2CCCO2)c(-c2ccccc2)oc2ccccc12
rutin,Western,cardiovascular,"buckwheat, citrus",low,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,C27H30O16,610.5,-1.69,10,16,269.4,5,O=c1c(OC2CCCC(COC3CCCCO3)O2)c(-c2ccccc2)oc2ccccc12
hesperidin,Western,cardiovascular,citrus,low,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1O,C28H34O15,610.6,-1.16,8,15,234.3,5,O=C1CC(c2ccccc2)Oc2cc(OC3CCCC(COC4CCCCO4)O3)ccc21
neohesperidin,East Asian,antioxidant,citrus,low,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)cc3O2)cc1O,C28H34O15,610.6,-1.16,8,15,234.3,5,O=C1CC(c2ccccc2)Oc2cc(OC3OCCCC3OC3CCCCO3)ccc21
narirutin,East Asian,antioxidant,citrus,low,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc(O)c4c(c3)O[C@H](c3ccc(O)cc3)CC4=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,C27H32O14,580.5,-1.17,8,14,225.1,5,O=C1CC(c2ccccc2)Oc2cc(OC3CCCC(COC4CCCCO4)O3)ccc21
sinensetin,East Asian,anti-inflammatory,citrus,moderate,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)cc3o2)cc1OC,C20H20O7,372.4,3.5,0,7,76.4,3,O=c1cc(-c2ccccc2)oc2ccccc12
oroxylin A,East Asian,neuroprotective,Scutellaria,moderate,COc1c(O)cc2oc(-c3ccccc3)cc(=O)c2c1O,C16H12O5,284.3,2.88,2,5,79.9,3,O=c1cc(-c2ccccc2)oc2ccccc12
scutellarin,East Asian,cardiovascular,Erigeron,low,O=C(O)[C@H]1O[C@@H](Oc2cc3oc(-c4ccc(O)cc4)cc(=O)c3c(O)c2O)[C@H](O)[C@@H](O)[C@@H]1O,C21H18O12,462.4,-0.15,7,11,207.3,4,O=c1cc(-c2ccccc2)oc2cc(OC3CCCCO3)ccc12
paeoniflorin,East Asian,anti-inflammatory,peony root,low,C[C@@]12C[C@@]3(O)O[C@@H](O1)[C@]1(COC(=O)c4ccccc4)[C@H]3C[C@@]12O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,C23H28O11,480.5,-1.36,5,11,164.4,8,O=C(OCC12C3OC4CC(O3)C1(OC1CCCCO1)CC42)c1ccccc1
gastrodin,East Asian,neuroprotective,Gastrodia,moderate,OCc1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,C13H18O7,286.3,-1.64,5,7,119.6,2,c1ccc(OC2CCCCO2)cc1
ginsenoside Re,East Asian,adaptogenic/tonic,ginseng,low,CC(C)=CCC[C@](C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)C[C@]12C,C48H82O18,947.2,-0.03,12,18,298.1,7,C1CCC(OCC2CCC3C2CCC2C4CCCCC4C(OC4OCCCC4OC4CCCCO4)CC32)OC1
ginsenoside Rd,East Asian,adaptogenic/tonic,ginseng,low,CC(C)=CCC[C@](C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C,C48H82O18,947.2,-0.03,12,18,298.1,7,C1CCC(OCC2CCC3C2CCC2C4CCC(OC5OCCCC5OC5CCCCO5)CC4CCC32)OC1
calycosin,East Asian,phytoestrogen,Astragalus,moderate,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1O,C16H12O5,284.3,2.88,2,5,79.9,3,O=c1c(-c2ccccc2)coc2ccccc12
formononetin,East Asian,phytoestrogen,"Astragalus, soy",moderate,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,C16H12O4,268.3,3.17,1,4,59.7,3,O=c1c(-c2ccccc2)coc2ccccc12
ononin,East Asian,phytoestrogen,Astragalus,low,COc1ccc(-c2coc3cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)ccc3c2=O)cc1,C22H22O9,430.4,0.65,4,9,138.8,4,O=c1c(-c2ccccc2)coc2cc(OC3CCCCO3)ccc12
tetrahydropalmatine,East Asian,neuroprotective,Corydalis,moderate,COc1cc2c(cc1OC)[C@@H]1Cc3ccc(OC)c(OC)c3CN1CC2,C21H25NO4,355.4,3.38,0,5,40.2,4,c1ccc2c(c1)CC1c3ccccc3CCN1C2
sinomenine,East Asian,anti-inflammatory,Sinomenium,moderate,COC1=C[C@@H]2[C@@H]3Cc4ccc(OC)c(O)c4[C@]2(CCN3C)CC1=O,C19H23NO4,329.4,2.02,1,5,59.0,4,O=C1C=CC2C3Cc4ccccc4C2(CCN3)C1
matrine,East Asian,anticancer,Sophora,moderate,O=C1CCC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,C15H24N2O,248.4,1.87,0,2,23.6,4,O=C1CCCC2C3CCCN4CCCC(CN12)C34
oxymatrine,East Asian,anti-inflammatory,Sophora,moderate,O=C1CCC[C@@H]2[C@H]3CCC[N@+]4([O-])CCC[C@@H](CN12)[C@@H]34,C15H24N2O2,264.4,1.88,0,2,43.4,4,O=C1CCCC2C3CCC[NH+]4CCCC(CN12)C34
emodin,East Asian,anti-inflammatory,rhubarb,low,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,C15H10O5,270.2,1.89,3,5,94.8,3,O=C1c2ccccc2C(=O)c2ccccc21
rhein,East Asian,anti-inflammatory,rhubarb,moderate,O=C(O)c1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,C15H8O6,284.2,1.57,3,5,111.9,3,O=C1c2ccccc2C(=O)c2ccccc21
chrysophanol,East Asian,antimicrobial,rhubarb,low,Cc1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,C15H10O4,254.2,2.18,2,4,74.6,3,O=C1c2ccccc2C(=O)c2ccccc21
magnolol,East Asian,neuroprotective,magnolia bark,low,C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,C18H18O2,266.3,4.22,2,2,40.5,2,c1ccc(-c2ccccc2)cc1
costunolide,East Asian,anticancer,costus,moderate,C=C1C(=O)O[C@@H]2/C=C(\C)CC/C=C(\C)CC[C@@H]12,C15H20O2,232.3,3.55,0,2,26.3,2,C=C1C(=O)OC2C=CCCC=CCCC12
shikonin,East Asian,anticancer,Lithospermum,low,CC(C)=CC[C@@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O,C16H16O5,288.3,2.12,3,5,94.8,2,O=C1C=CC(=O)c2ccccc21
cryptotanshinone,East Asian,cardiovascular,Salvia miltiorrhiza,low,C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C,C19H20O3,296.4,3.44,0,3,43.4,4,O=C1C(=O)c2c(ccc3c2CCCC3)C2=C1CCO2
liquiritigenin,East Asian,phytoestrogen,licorice,moderate,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)ccc21,C15H12O4,256.3,2.8,2,4,66.8,3,O=C1CC(c2ccccc2)Oc2ccccc21
isoliquiritigenin,East Asian,anticancer,licorice,moderate,O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1O,C15H12O4,256.3,2.7,3,4,77.8,2,O=C(C=Cc1ccccc1)c1ccccc1
piperlongumine,South Asian,anticancer,long pepper,moderate,COc1cc(/C=C/C(=O)N2CCC=CC2=O)cc(OC)c1OC,C17H19NO5,317.3,2.04,0,5,65.1,2,O=C1C=CCCN1C(=O)C=Cc1ccccc1
calebin A,South Asian,neuroprotective,turmeric,low,COc1cc(/C=C/C(=O)COC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,C21H20O7,384.4,2.95,2,7,102.3,2,O=C(C=Cc1ccccc1)COC(=O)C=Cc1ccccc1
bacopaside I,South Asian,neuroprotective,Bacopa monnieri,low,CC(C)=C[C@@H]1CO[C@]23C[C@]4(CO2)[C@H](CC[C@@H]2[C@@]5(C)CC[C@H](O[C@@H]6OC[C@H](O)[C@H](O[C@@H]7O[C@H](COS(=O)(=O)O)[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O[C@@H]6O[C@@H](CO)[C@H](O)[C@H]6O)C(C)(C)[C@@H]5CC[C@]24C)[C@H]3[C@@]1(C)O,C46H74O20S,979.1,0.29,9,19,299.3,9,C1CCC(OC2CCOC(OC3CCC4C(CCC5C4CCC4C6CCCOC67CC54CO7)C3)C2OC2CCCO2)OC1
bacopaside II,South Asian,neuroprotective,Bacopa monnieri,low,CC(C)=C[C@@H]1CO[C@]23C[C@]4(CO2)[C@H](CC[C@@H]2[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O[C@@H]6O[C@@H](CO)[C@H](O)[C@H]6O)C(C)(C)[C@@H]5CC[C@]24C)[C@H]3[C@@]1(C)O,C47H76O18,929.1,-0.18,10,18,276.1,9,C1CCC(OC2CCOC(OC3CCC4C(CCC5C4CCC4C6CCCOC67CC54CO7)C3)C2OC2CCCO2)OC1
withanoside IV,South Asian,adaptogenic/tonic,ashwagandha,low,CC1=C(CO)C(=O)O[C@@H]([C@@H](C)[C@H]2CC[C@H]3[C@@H]4CC=C5C[C@@H](O[C@@H]6O[C@H](CO[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@@H](O)[C@H](O)[C@H]6O)C[C@H](O)[C@]5(C)[C@H]4CC[C@]23C)C1,C40H62O15,782.9,-0.19,9,15,245.3,7,O=C1C=CCC(CC2CCC3C2CCC2C4CCC(OC5CCCC(COC6CCCCO6)O5)CC4=CCC23)O1
gymnemagenin,South Asian,antidiabetic,Gymnema sylvestre,low,CC1(C)C[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@@]4(C)[C@]3(C)C[C@H](O)[C@@]2(CO)[C@@H](O)[C@@H]1O,C30H50O6,506.7,3.03,6,6,121.4,5,C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1
acetyl-11-keto-beta-boswellic acid,South Asian,anti-inflammatory,Boswellia serrata,low,CC(=O)O[C@@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2C(=O)C=C2[C@@H]4[C@@H](C)[C@H](C)CC[C@]4(C)CC[C@]23C)[C@@]1(C)C(=O)O,C32H48O5,512.7,6.84,1,4,80.7,5,O=C1C=C2C3CCCCC3CCC2C2CCC3CCCCC3C12
nimbin,South Asian,antimicrobial,neem,low,COC(=O)C[C@H]1[C@]2(C)C3=C(C)[C@H](c4ccoc4)C[C@H]3O[C@@H]2[C@H](OC(C)=O)[C@@H]2[C@]1(C)C(=O)C=C[C@@]2(C)C(=O)OC,C30H36O9,540.6,3.92,0,9,118.3,5,O=C1C=CCC2CC3OC4CC(c5ccoc5)C=C4C3CC12
nimbolide,South Asian,anticancer,neem,low,COC(=O)C[C@H]1[C@]2(C)C3=C(C)[C@H](c4ccoc4)C[C@H]3O[C@@H]2[C@@H]2OC(=O)[C@]3(C)C=CC(=O)[C@@]1(C)[C@@H]23,C27H30O7,466.5,3.74,0,7,92.0,6,O=C1OC2C3OC4CC(c5ccoc5)C=C4C3CC3C(=O)C=CC1C32
gedunin,South Asian,anticancer,neem,low,CC(=O)O[C@@H]1C[C@H]2C(C)(C)C(=O)C=C[C@]2(C)[C@H]2CC[C@@]3(C)[C@H](c4ccoc4)OC(=O)[C@H]4O[C@]43[C@@]21C,C28H34O7,482.6,4.56,0,7,95.3,6,O=C1C=CC2C(CCC3C2CCC2C(c4ccoc4)OC(=O)C4OC423)C1
picroside I,South Asian,hepatoprotective,Picrorhiza kurroa,low,O=C(/C=C/c1ccccc1)OC[C@H]1O[C@@H](O[C@@H]2OC=C[C@H]3[C@H](O)[C@@H]4O[C@]4(CO)[C@@H]23)[C@H](O)[C@@H](O)[C@@H]1O,C24H28O11,492.5,-1.33,5,11,167.7,5,O=C(C=Cc1ccccc1)OCC1CCCC(OC2OC=CC3CC4OC4C32)O1
picroside II,South Asian,hepatoprotective,Picrorhiza kurroa,low,COc1cc(C(=O)O[C@H]2[C@@H]3C=CO[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H]3[C@@]3(CO)O[C@@H]23)ccc1O,C23H28O13,512.5,-2.01,6,13,197.1,5,O=C(OC1C2C=COC(OC3CCCCO3)C2C2OC12)c1ccccc1
neoandrographolide,South Asian,anti-inflammatory,Andrographis paniculata,low,C=C1CC[C@@H]2[C@](C)(CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)CCC[C@@]2(C)[C@@H]1CCC1=CCOC1=O,C26H40O8,480.6,1.85,4,8,125.7,4,C=C1CCC2C(COC3CCCCO3)CCCC2C1CCC1=CCOC1=O
sesamol,South Asian,antioxidant,sesame,moderate,Oc1ccc2c(c1)OCO2,C7H6O3,138.1,1.12,1,3,38.7,2,c1ccc2c(c1)OCO2
sesamolin,South Asian,antioxidant,sesame,low,c1cc2c(cc1O[C@H]1OC[C@H]3[C@@H]1CO[C@@H]3c1ccc3c(c1)OCO3)OCO2,C20H18O7,370.4,2.88,0,7,64.6,6,c1cc2c(cc1OC1OCC3C(c4ccc5c(c4)OCO5)OCC13)OCO2
anethole,South Asian,antimicrobial,"fennel, anise",moderate,C/C=C/c1ccc(OC)cc1,C10H12O,148.2,2.73,0,1,9.2,1,c1ccccc1
solasodine,South Asian,anticancer,Solanum,low,C[C@@H]1CC[C@@]2(NC1)O[C@H]1C[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,C27H43NO2,413.6,5.29,2,3,41.5,6,C1=C2CCCCC2C2CCC3C4CC5(CCCCN5)OC4CC3C2C1
corosolic acid,South Asian,antidiabetic,banaba,low,C[C@H]1[C@H](C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12,C30H48O4,472.7,6.06,3,3,77.8,5,C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1
mahanimbine,South Asian,antimicrobial,curry leaf,low,CC(C)=CCCC1(C)C=Cc2c(c(C)cc3c2[nH]c2ccccc23)O1,C23H25NO,331.5,6.54,1,1,25.0,4,C1=Cc2c(ccc3c2[nH]c2ccccc23)OC1
karanjin,South Asian,antimicrobial,Pongamia,low,COc1c(-c2ccccc2)oc2c(ccc3occc32)c1=O,C18H12O4,292.3,4.21,0,4,52.6,4,O=c1cc(-c2ccccc2)oc2c1ccc1occc12
tinosporaside,South Asian,immunomodulatory,Tinospora cordifolia,low,C[C@@]12C[C@@H](c3ccoc3)OC(=O)[C@@H]1CC[C@]1(C)[C@H]2C(=O)C=C[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,C25H32O10,492.5,0.63,4,10,155.9,5,O=C1OC(c2ccoc2)CC2C1CCC1C(OC3CCCCO3)C=CC(=O)C12
guggulsterone E,South Asian,anti-inflammatory,guggul,low,C/C=C1/C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,C21H28O2,312.5,4.64,0,2,34.1,4,C=C1C(=O)CC2C1CCC1C3CCC(=O)C=C3CCC21
shatavarin IV,South Asian,phytoestrogen,Asparagus racemosus,low,C[C@H]1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC[C@@H]5C[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O[C@@H]7O[C@@H](C)[C@H](O)[C@@H](O)[C@H]7O)[C@H](O)[C@H]6O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,C45H74O17,887.1,0.29,9,17,255.9,9,C1CCC(OC2COC(OC3CCC4C(CCC5C4CCC4C6CC7(CCCCO7)OC6CC45)C3)C(OC3CCCCO3)C2)OC1
plumbagin,South Asian,anticancer,Plumbago,moderate,CC1=CC(=O)c2c(O)cccc2C1=O,C11H8O3,188.2,1.72,1,3,54.4,2,O=C1C=CC(=O)c2ccccc21
isovitexin,African,antioxidant,"rooibos, millet",low,O=c1cc(-c2ccc(O)cc2)oc2cc(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12,C21H20O10,432.4,0.09,7,10,181.0,4,O=c1cc(-c2ccccc2)oc2ccc(C3CCCCO3)cc12
bergenin,African,hepatoprotective,African medicinal plants,moderate,COc1c(O)cc2c(c1O)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1OC2=O,C14H16O9,328.3,-1.2,5,9,145.9,3,O=C1OC2CCCOC2c2ccccc21
eriodictyol,African,antioxidant,rooibos,moderate,O=C1C[C@@H](c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,C15H12O6,288.3,2.22,4,6,107.2,3,O=C1CC(c2ccccc2)Oc2ccccc21
chrysoeriol,African,anti-inflammatory,rooibos,moderate,COc1cc(-c2cc(=O)c3c(O)cc(O)cc3o2)ccc1O,C16H12O6,300.3,2.59,3,6,100.1,3,O=c1cc(-c2ccccc2)oc2ccccc12
hyperoside,African,antioxidant,"African herbs, sorghum",low,O=c1c(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,C21H20O12,464.4,-0.54,8,12,210.5,4,O=c1c(OC2CCCCO2)c(-c2ccccc2)oc2ccccc12
